Round,Round,Pk,Player,College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,Year,Group
2,2,27.0,Dwayne McClain,Villanova,1,45,461,157,30,67,.383,.111,.514,10.2,3.5,0.7,1.5,-0.3,-.026,-3.8,-0.2,1985,3
2,2,28.0,Ken Johnson,Michigan State,1,64,815,263,243,19,.528,0,.435,12.7,4.1,3.8,0.3,0.8,.044,-4.9,-0.6,1985,3
2,2,29.0,Mike Brittain,South Carolina,2,38,248,63,53,7,.500,0,.524,6.5,1.7,1.4,0.2,-0.1,-.011,-7.6,-0.4,1985,3
2,2,30.0,Calvin Duncan,VCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,3
2,2,31.0,Manute Bol,University of Bridgeport,10,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051,-0.5,4.5,1985,4
2,2,32.0,Nick Vanos,Santa Clara,2,68,842,222,240,59,.383,.000,.561,12.4,3.3,3.5,0.9,-0.1,-.007,-5.5,-0.7,1985,4
2,2,33.0,Greg Stokes,Iowa,2,42,384,130,62,17,.445,.000,.696,9.1,3.1,1.5,0.4,0.3,.041,-4.1,-0.2,1985,4
2,2,34.0,Aubrey Sherrod,Wichita State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,4
2,2,35.0,Tyrone Corbin,DePaul,16,1065,27657,9766,5046,1894,.456,.299,.791,26.0,9.2,4.7,1.8,56.5,.098,-0.3,12.0,1985,4
2,2,36.0,Yvon Joseph,Georgia Tech,1,1,5,2,0,0,0,0,1.000,5.0,2.0,0.0,0.0,0.0,.309,0.7,0.0,1985,4
2,2,37.0,Carey Scurry,Long Island University,3,180,2376,847,524,192,.480,.250,.666,13.2,4.7,2.9,1.1,5.3,.107,1.7,2.2,1985,4
2,2,38.0,Fernando MartÃÂ­n,0,1,24,146,22,28,9,.290,.000,.364,6.1,0.9,1.2,0.4,-0.4,-.144,-10.3,-0.3,1985,4
2,2,39.0,George Montgomery,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,4
2,2,40.0,Mark Acres,Oral Roberts,6,375,5982,1343,1525,180,.506,.538,.665,16.0,3.6,4.1,0.5,9.3,.075,-3.3,-1.9,1985,4
2,2,41.0,Lorenzo Charles,NC State,1,36,273,122,39,8,.557,0,.667,7.6,3.4,1.1,0.2,0.5,.086,-1.6,0.0,1985,5
2,2,42.0,Bobby Lee Hurt,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,5
2,2,43.0,Barry Stevens,Iowa State,1,2,6,2,2,0,.500,0,0,3.0,1.0,1.0,0.0,0.0,.157,-0.8,0.0,1985,5
2,2,44.0,Voise Winters,Bradley,1,4,17,6,3,0,.231,.000,0,4.3,1.5,0.8,0.0,-0.1,-.355,-21.8,-0.1,1985,5
2,2,45.0,Hot Rod Williams,Tulane,13,887,26327,9784,5998,1592,.480,.105,.726,29.7,11.0,6.8,1.8,70.5,.129,1.0,19.9,1985,5
2,2,46.0,Adrian Branch,Maryland,4,130,1429,834,253,96,.455,.231,.744,11.0,6.4,1.9,0.7,2.1,.070,-1.9,0.0,1985,5
2,2,47.0,Gerald Wilkins,Chattanooga,13,900,26084,11736,2646,2697,.450,.316,.745,29.0,13.0,2.9,3.0,33.9,.062,-1.2,5.3,1985,5
3,3,48.0,Kenny Patterson,DePaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,5
3,3,49.0,Brad Wright,UCLA,2,16,145,54,54,1,.412,.000,.429,9.1,3.4,3.4,0.1,-0.1,-.045,-8.0,-0.2,1985,5
3,3,50.0,Leonard Allen,San Diego State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,5
3,3,51.0,Charles Bradley,South Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,52.0,Anicet Lavodrama,Houston Baptist University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,53.0,Rolando Lamb,VCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,54.0,Sam Mitchell,Mercer University,13,994,22257,8636,3711,1089,.447,.223,.784,22.4,8.7,3.7,1.1,41.7,.090,-2.5,-3.1,1985,6
3,3,55.0,Herb Johnson,Tulsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,56.0,Jerry Everett,Lamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,57.0,Michael Payne,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,58.0,Vernon Moore,Creighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
3,3,59.0,Sedric Toney,Dayton,5,112,1410,409,98,235,.365,.341,.781,12.6,3.7,0.9,2.1,0.0,.000,-5.0,-1.1,1985,6
3,3,60.0,Andre Goode,Northwestern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,6
7,7,1.0,Brad Daugherty,UNC,8,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156,2.2,21.3,1986,1
7,7,2.0,Len Bias,Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1
7,7,3.0,Chris Washburn,NC State,2,72,645,222,176,22,.412,.000,.439,9.0,3.1,2.4,0.3,-0.6,-.046,-7.4,-0.9,1986,1
7,7,4.0,Chuck Person,Auburn,13,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065,-0.7,9.2,1986,1
7,7,5.0,Kenny Walker,Kentucky,7,448,9050,3128,1793,299,.485,.206,.749,20.2,7.0,4.0,0.7,17.9,.095,-1.8,0.6,1986,1
7,7,6.0,William Bedford,Memphis,6,238,2514,964,573,109,.416,.318,.605,10.6,4.1,2.4,0.5,0.9,.017,-4.8,-1.8,1986,1
7,7,7.0,Roy Tarpley,Michigan,6,280,7476,3533,2803,292,.483,.176,.744,26.7,12.6,10.0,1.0,19.8,.127,-0.2,3.4,1986,1
