fips,year,month_name,unemployment_rate,employment_rate
18,2021,October,2.9,97.1
18,2021,November,2.8,97.2
18,2021,December,2.5,97.5
18,2022,January,3.4,96.6
18,2022,February,3.5,96.5
18,2022,March,3.3,96.7
18,2022,April,2.5,97.5
18,2022,May,2.9,97.1
18,2022,June,3.3,96.7
18,2022,July,3.5,96.5
18,2022,August,3.2,96.8
18,2022,September,2.6,97.4
18,2022,October,3.0,97.0
18,2022,November,3.1,96.9
18,2022,December,2.7,97.3
19,2020,January,3.4,96.6
19,2020,February,2.9,97.1
19,2020,March,3.4,96.6
19,2020,April,10.7,89.3
19,2020,May,8.5,91.5
19,2020,June,7.0,93.0
19,2020,July,6.0,94.0
19,2020,August,4.8,95.2
19,2020,September,4.2,95.8
19,2020,October,3.5,96.5
19,2020,November,3.8,96.2
19,2020,December,4.2,95.8
19,2021,January,5.2,94.8
19,2021,February,4.8,95.2
19,2021,March,4.5,95.5
19,2021,April,4.0,96.0
19,2021,May,4.2,95.8
19,2021,June,4.6,95.4
19,2021,July,4.1,95.9
19,2021,August,3.8,96.2
19,2021,September,3.0,97.0
19,2021,October,2.9,97.1
19,2021,November,2.7,97.3
19,2021,December,2.7,97.3
19,2022,January,3.7,96.3
19,2022,February,3.0,97.0
19,2022,March,2.8,97.2
19,2022,April,2.1,97.9
19,2022,May,2.4,97.6
19,2022,June,2.8,97.2
19,2022,July,3.1,96.9
19,2022,August,3.2,96.8
19,2022,September,2.6,97.4
19,2022,October,2.8,97.2
19,2022,November,2.8,97.2
19,2022,December,2.9,97.1
20,2020,January,3.2,96.8
20,2020,February,3.2,96.8
20,2020,March,3.6,96.4
20,2020,April,11.8,88.2
20,2020,May,9.3,90.7
20,2020,June,7.5,92.5
20,2020,July,7.3,92.7
20,2020,August,5.9,94.1
20,2020,September,5.3,94.7
20,2020,October,4.6,95.4
20,2020,November,4.2,95.8
20,2020,December,4.1,95.9
20,2021,January,4.3,95.7
20,2021,February,4.0,96.0
20,2021,March,3.7,96.3
20,2021,April,3.4,96.6
20,2021,May,3.4,96.6
20,2021,June,4.1,95.9
20,2021,July,4.1,95.9
20,2021,August,3.6,96.4
20,2021,September,2.9,97.1
20,2021,October,2.8,97.2
20,2021,November,2.2,97.8
20,2021,December,2.0,98.0
20,2022,January,2.8,97.2
20,2022,February,2.8,97.2
20,2022,March,2.7,97.3
20,2022,April,2.3,97.7
20,2022,May,2.5,97.5
20,2022,June,2.9,97.1
20,2022,July,3.3,96.7
20,2022,August,3.2,96.8
20,2022,September,2.6,97.4
20,2022,October,2.8,97.2
20,2022,November,2.5,97.5
20,2022,December,2.4,97.6
21,2020,January,4.5,95.5
21,2020,February,4.4,95.6
